id,gender,class,gpa,scale1,scale2
3368,female,junior,3.05,3,6
3369,male,senior,2.79,5,5
3370,male,junior,2.37,3,1
3371,female,sophomore,2.32,1,7
3372,male,freshman,2.76,4,7
3373,female,senior,2.12,2,8
3374,male,senior,2.05,3,6
3375,female,sophomore,2.97,4,9
3376,male,junior,2.31,2,2
3377,female,junior,3.04,1,4
3378,male,sophomore,2.61,3,6
3379,female,sophomore,2.11,1,6
3380,female,sophomore,3.08,2,5
3381,male,senior,2.61,1,9
3382,male,senior,2.8,1,3
3383,male,freshman,2.73,4,3
3384,male,freshman,3.06,4,7
3385,male,sophomore,2.44,4,3
3386,male,junior,3,2,6
3387,male,freshman,2.56,4,6
3388,male,freshman,2.78,2,1
3389,female,freshman,2.94,2,6
3390,male,freshman,3.08,2,7
3391,male,freshman,2.32,3,7
3392,male,junior,2.89,2,3
3393,male,sophomore,2.46,3,2
3394,female,sophomore,3.01,2,7
3395,female,freshman,2.89,4,4
3396,female,sophomore,2.63,4,1
3397,female,senior,2.86,3,8
3398,male,junior,3.14,4,6
3399,female,sophomore,2.71,4,1
3400,male,sophomore,2.42,2,2
3401,female,sophomore,2.46,3,7
3402,female,sophomore,2.5,2,7
3403,male,sophomore,2.83,1,7
3404,female,sophomore,2.94,3,8
3405,male,sophomore,3.04,5,2
3406,male,sophomore,2.68,2,8
3407,male,junior,2.96,4,7
3408,male,junior,2.42,3,4
3409,male,junior,2.85,2,1
3410,female,junior,2.88,2,7
3411,male,junior,2.95,1,8
3412,female,sophomore,3.22,5,4
3413,male,freshman,2.52,2,8
3414,male,junior,2.76,4,2
3415,female,sophomore,2.78,1,2
3416,female,sophomore,3.18,2,3
3417,female,freshman,3.9,1,8
3418,male,freshman,3.16,5,9
3419,female,sophomore,2.77,2,6
3420,female,junior,2.24,1,5
3421,female,sophomore,4,3,4
3422,male,senior,2.62,4,3
3423,female,senior,3.53,1,4
3424,male,senior,2.85,1,9
3425,female,senior,2.84,4,7
3426,female,freshman,2.39,2,9
3427,female,senior,3.03,2,4
3428,male,senior,2.82,2,4
3429,female,freshman,3.42,3,5
3430,male,sophomore,2.36,1,3
3431,male,junior,3.22,3,8
3432,female,senior,2.96,5,4
3433,male,junior,2.36,3,5
3434,male,junior,3.05,1,9
3435,female,junior,3.49,3,7
3436,female,junior,4,1,5
3437,female,freshman,2.53,1,5
3438,female,junior,2.98,1,5
3439,male,freshman,2.33,2,5
3440,male,freshman,2.76,4,6
3441,male,freshman,2.81,1,3
3442,male,freshman,2.92,3,7
3443,male,sophomore,2.53,3,1
3444,female,senior,2.84,2,3
3445,male,sophomore,2.61,3,6
3446,male,sophomore,2.71,4,6
3447,female,sophomore,2.14,3,1
3448,female,freshman,2.83,2,7
3449,female,junior,2.58,2,4
3450,male,junior,3,4,7
3451,male,freshman,3.1,5,9
3452,male,junior,3.02,4,4
3453,female,freshman,2.14,4,9
3454,female,junior,2.26,1,4
3455,male,sophomore,2.17,4,4
3456,female,junior,2.45,2,4
3457,male,sophomore,3.42,2,2
3458,male,junior,2.5,2,9
3459,female,junior,2.61,3,6
3460,male,freshman,2.64,2,9
3461,female,senior,3.07,2,9
3462,male,freshman,2.71,2,9
3463,male,junior,3.19,4,7
3464,male,sophomore,2.52,5,9
3465,male,freshman,2.93,2,1
3466,male,freshman,3.5,3,5
3467,male,freshman,2.79,2,3
3468,male,freshman,2.88,2,1
3469,female,senior,3.52,2,3
3470,female,senior,2.86,2,5
3471,male,sophomore,3.13,5,7
3472,female,sophomore,2.63,4,3
3473,male,freshman,3.27,1,1
3474,female,sophomore,2.34,1,9
3475,female,freshman,3.23,4,2
3476,male,sophomore,2.26,1,1
3477,female,freshman,3.3,4,3
3478,male,sophomore,2.96,2,2
3479,male,freshman,2.75,4,7
3480,male,freshman,2.67,3,9
3481,female,freshman,2.48,5,4
3482,male,sophomore,2.92,2,5
3483,male,junior,2.85,1,1
3484,male,sophomore,3.11,4,4
3485,female,sophomore,2.63,5,1
3486,male,senior,2.53,3,3
3487,female,senior,3.27,3,4
3488,male,freshman,2.22,2,7
3489,female,junior,3.5,1,9
3490,male,senior,2.44,2,8
3491,male,freshman,2.44,2,8
3492,male,sophomore,2.12,5,7
3493,male,junior,1.98,4,8
3494,male,freshman,2.69,2,6
3495,male,freshman,2.54,4,7
3496,female,freshman,3.05,1,2
3497,male,junior,2.92,1,3
3498,male,senior,3.06,4,6
3499,female,sophomore,2.77,5,8
3500,female,freshman,3.17,2,9
3501,male,freshman,2.51,3,1
3502,male,sophomore,2.37,5,6
3503,male,sophomore,3.07,5,9
3504,male,senior,2.53,4,8
3505,male,senior,2.03,3,8
3506,female,senior,2.95,5,3
3507,male,junior,2.99,5,7
3508,male,sophomore,2.78,1,9
3509,female,junior,2.61,1,9
3510,male,junior,2.49,3,3
3511,female,sophomore,3.35,4,6
3512,male,freshman,2.69,1,4
3513,male,senior,2.35,3,1
3514,female,senior,2.99,3,8
3515,female,sophomore,2.87,3,5
3516,male,senior,2.66,2,6
3517,female,junior,2.38,3,3
3518,male,senior,2.11,1,4
3519,female,sophomore,2.34,5,5
3520,female,senior,3.4,1,4
3521,male,senior,2.72,3,4
3522,male,sophomore,2.97,5,1
3523,female,freshman,3.51,2,7
3524,female,freshman,3.36,4,9
3525,female,senior,2.22,3,3
3526,female,sophomore,2.25,2,9
3527,male,senior,2.19,2,6
3528,male,junior,2.32,4,4
3529,male,freshman,3.41,3,9
3530,male,senior,2.43,1,4
3531,female,junior,2.85,4,7
3532,female,senior,2.48,2,1
3533,female,freshman,3.24,3,9
3534,female,senior,3.47,1,1
3535,male,sophomore,3.44,1,6
3536,male,senior,2.16,2,4
3537,female,senior,2.57,4,4
3538,male,senior,3.02,2,4
3539,male,senior,2.36,1,4
3540,male,freshman,2.38,2,2
3541,female,freshman,2.2,5,7
3542,male,junior,2.94,3,1
3543,female,senior,2.45,3,7
3544,female,senior,2.53,4,3
3545,female,freshman,2.76,2,2
3546,female,sophomore,2.39,4,9
3547,male,sophomore,2.56,2,2
3548,female,junior,2.07,3,4
3549,male,sophomore,2.87,3,3
3550,male,sophomore,2.76,1,2
3551,male,freshman,3.15,4,3
3552,male,senior,2.16,2,8
3553,female,freshman,2.74,4,8
3554,female,senior,2.71,1,6
3555,female,freshman,2.17,1,1
3556,male,junior,2.95,2,3
3557,female,junior,3.1,1,7
3558,female,senior,2.96,2,6
3559,male,sophomore,3.26,2,2
3560,male,freshman,2.58,5,8
3561,female,freshman,2.44,4,6
3562,male,sophomore,3.68,5,3
3563,female,sophomore,2.47,3,3
3564,female,sophomore,2.05,5,2
3565,female,junior,3.07,3,3
3566,male,sophomore,2.87,2,7
3567,male,junior,2.65,4,1
3568,female,sophomore,3.34,1,5
3569,female,sophomore,2.97,5,7
3570,male,sophomore,2.9,3,3
3571,male,junior,2.9,2,1
3572,male,freshman,2.3,3,4
3573,male,junior,2.82,3,4
3574,female,junior,2.22,3,4
3575,female,junior,2.27,1,1
3576,male,sophomore,3.12,3,5
3577,female,junior,3.36,4,4
3578,female,freshman,2.79,1,2
3579,female,sophomore,2.81,4,3
3580,female,freshman,2.44,4,3
3581,female,sophomore,3.3,5,8
3582,male,senior,2.6,2,8
3583,male,sophomore,3.1,3,5
3584,female,sophomore,3.05,4,1
3585,female,freshman,2.44,2,6
3586,male,sophomore,2.55,1,2
3587,female,junior,2.63,4,1
3588,male,freshman,2.59,1,2
3589,male,senior,2.42,5,9
3590,female,sophomore,2.32,2,2
3591,female,senior,2.74,4,7
3592,male,freshman,2.76,2,1
3593,male,freshman,3.51,5,1
3594,female,freshman,2.92,2,2
3595,female,senior,3.07,3,9
3596,female,junior,2.3,1,5
3597,female,senior,2.83,5,6
3598,male,sophomore,2.7,3,6
3599,male,sophomore,2.62,2,9
3600,female,senior,2.38,5,3
3601,male,freshman,3.28,3,7
3602,female,freshman,2.94,2,3
3603,male,sophomore,3.03,1,1
3604,female,freshman,2.91,5,1
3605,female,sophomore,2.24,2,9
3606,male,freshman,2.65,2,2
3607,male,sophomore,2.6,1,3
3608,male,junior,2.37,4,2
3609,female,freshman,3.09,3,5
3610,male,junior,2.73,1,1
3611,female,junior,2.75,3,4
3612,male,freshman,3.08,3,1
3613,male,junior,3.01,2,9
3614,male,sophomore,3.2,3,2
3615,male,senior,2.82,2,1
3616,male,freshman,2.48,5,1
3617,male,senior,2.76,3,4
3618,female,freshman,2.96,1,2
3619,female,junior,2.5,4,1
3620,male,sophomore,2.58,1,3
3621,female,freshman,2.82,4,9
3622,male,junior,3.19,1,7
3623,male,junior,2.61,1,4
3624,male,junior,3.09,5,8
3625,male,freshman,2.32,1,5
3626,female,junior,2.87,1,5
3627,male,sophomore,1.94,2,5
3628,female,freshman,3.33,4,3
3629,male,junior,2.96,2,5
3630,female,freshman,2.56,5,3
3631,female,sophomore,3.04,1,9
3632,female,junior,2.44,2,5
3633,female,freshman,2.8,2,9
3634,female,senior,3.28,5,7
3635,male,junior,3.06,3,1
3636,male,junior,2.45,2,4
3637,male,sophomore,2.42,3,3
3638,male,junior,2.93,3,4
3639,male,junior,2.94,3,5
3640,male,freshman,2.78,3,1
3641,male,sophomore,3.31,2,7
3642,male,junior,2.59,2,1
3643,female,sophomore,3.03,3,8
3644,female,senior,3.04,3,3
3645,male,junior,2.23,2,4
3646,male,junior,2.45,2,2
3647,male,senior,2.7,5,6
3648,female,sophomore,2.47,3,4
3649,male,sophomore,2.82,3,3
3650,female,sophomore,2.93,3,1
3651,male,junior,3.02,3,3
3652,female,junior,2.26,5,3
3653,female,freshman,2.87,4,7
3654,female,junior,2.98,5,3
3655,female,sophomore,2.59,3,7
3656,male,senior,2.41,5,2
3657,male,senior,2.24,2,1
3658,female,junior,2.23,5,4
3659,female,senior,2.95,1,9
3660,female,freshman,2.49,3,9
3661,male,junior,2.64,5,9
3662,female,junior,2.69,1,9
3663,female,junior,3,5,4
3664,male,freshman,2.33,1,7
3665,female,sophomore,3.2,3,5
3666,male,senior,2.79,3,9
3667,male,freshman,2.1,4,2
3668,female,junior,2.95,3,4
3669,female,senior,2.08,2,7
3670,female,sophomore,2.68,2,1
3671,male,senior,2.46,2,5
3672,male,junior,2.76,3,4
3673,female,freshman,2.65,2,9
3674,male,senior,3.18,5,9
3675,male,sophomore,2.9,2,1
3676,female,junior,2.84,3,3
3677,male,freshman,3.5,5,5
3678,female,freshman,3.06,4,4
3679,female,sophomore,3.25,3,1
3680,male,sophomore,2.48,1,1
3681,male,junior,2.23,2,8
3682,female,freshman,2.44,4,3
3683,male,senior,2.06,3,6
3684,female,junior,2.54,2,7
3685,female,senior,3.17,3,9
3686,female,sophomore,3.46,3,6
3687,male,freshman,2.66,2,9
3688,female,senior,2.72,1,1
3689,male,junior,2.77,3,4
3690,male,freshman,3.73,3,8
3691,male,senior,2.55,3,4
3692,female,freshman,2.41,2,8
3693,male,freshman,2.86,3,9
3694,female,sophomore,2.83,3,5
3695,male,sophomore,3.02,3,2
3696,male,junior,2.24,4,3
3697,male,freshman,2.86,3,4
3698,female,sophomore,2.77,3,3
3699,male,senior,2.28,1,3
3700,male,senior,2.78,3,3
3701,male,freshman,2.92,2,3
3702,male,senior,2.58,2,9
3703,male,senior,2.89,3,3
3704,female,senior,2.96,4,1
3705,male,junior,3.51,5,1
3706,female,freshman,2.68,3,2
3707,male,freshman,2.49,2,7
3708,male,freshman,2.78,3,3
3709,male,freshman,2.99,2,9
3710,male,sophomore,2.96,4,4
3711,female,sophomore,2.91,3,3
3712,female,sophomore,2.98,5,2
3713,male,freshman,2.78,1,3
3714,female,sophomore,2.51,4,9
3715,female,sophomore,2.97,2,1
3716,male,freshman,2.76,1,3
3717,female,junior,2.37,3,3
3718,male,freshman,3.17,1,9
3719,male,junior,2.15,4,9
3720,female,junior,2.54,2,4
3721,female,sophomore,2.96,2,9
3722,female,senior,3.27,2,9
3723,male,junior,2.47,3,6
3724,male,senior,2,5,6
3725,female,senior,2.44,2,4
3726,female,freshman,2.65,3,9
3727,female,sophomore,2.6,5,9
3728,female,junior,2.4,4,4
3729,male,senior,2.59,2,5
3730,female,sophomore,2.64,3,5
3731,female,senior,3.09,2,8
3732,female,sophomore,2.2,2,7
3733,female,freshman,2.12,1,5
3734,male,junior,2.89,3,1
3735,male,sophomore,2.36,4,4
3736,female,junior,2.39,4,9
3737,male,sophomore,2.28,1,3
3738,male,sophomore,2.26,4,7
3739,female,freshman,3.26,4,7
3740,female,freshman,2.56,2,4
3741,male,senior,2.83,1,4
3742,female,freshman,2.57,1,9
3743,female,sophomore,2.75,4,4
3744,female,junior,3.25,1,4
3745,male,sophomore,2.88,2,9
3746,female,senior,3.34,3,8
3747,male,junior,3.04,2,9
3748,male,senior,2.54,2,6
3749,female,freshman,3.11,2,3
3750,male,junior,2.2,4,4
3751,female,senior,2.91,2,2
3752,female,senior,2.26,2,7
3753,male,freshman,3.27,4,2
3754,female,freshman,2.92,2,5
3755,female,sophomore,3.07,3,8
3756,male,freshman,2.54,4,5
3757,male,sophomore,1.96,1,9
3758,male,sophomore,2.91,3,7
3759,male,freshman,2.98,3,8
3760,female,freshman,3.51,3,9
3761,male,senior,2.36,1,4
3762,female,junior,2.64,1,8
3763,female,sophomore,2.3,2,9
3764,male,freshman,2.91,2,8
3765,male,junior,2.84,1,5
3766,male,junior,2.42,4,4
3767,male,freshman,2.69,4,8
3768,female,freshman,3.03,5,4
3769,female,junior,3.44,4,9
3770,female,senior,2.35,2,1
3771,female,freshman,3.23,2,6
3772,female,senior,2.37,3,2
3773,male,freshman,3.25,4,9
3774,male,junior,3.13,2,3
3775,male,freshman,2.17,4,4
3776,male,freshman,2.54,2,3
3777,male,freshman,2.84,3,1
3778,male,freshman,2.92,1,6
3779,male,sophomore,2.85,1,7
3780,female,junior,2.65,3,8
3781,female,junior,2.73,2,1
3782,male,freshman,2.8,3,5
3783,male,freshman,2.62,-99,1
3784,male,junior,3.14,2,4
3785,female,junior,3.77,4,1
3786,male,junior,3.06,2,5
3787,male,junior,2.46,2,3
3788,male,junior,2.68,2,3
3789,female,freshman,3.66,5,5
3790,female,senior,2.4,4,1
3791,male,senior,2.27,1,8
3792,female,senior,3.55,4,4
3793,female,junior,2.79,4,1
3794,male,senior,3.2,1,2
3795,male,sophomore,2.75,5,6
3796,female,junior,2.73,1,2
3797,female,senior,2.01,2,5
3798,female,senior,2.64,2,1
3799,male,junior,3.24,3,8
3800,female,senior,2.62,4,3
3801,male,senior,2.85,3,4
3802,male,freshman,2.55,2,6
3803,male,junior,1.99,4,9
3804,male,freshman,3.52,2,3
3805,female,sophomore,2.53,1,2
3806,male,senior,2.52,1,9
3807,male,sophomore,2.77,5,6
3808,female,sophomore,2.77,3,2
3809,male,junior,3.23,2,7
3810,male,freshman,3.05,3,6
3811,female,freshman,2.14,1,9
3812,male,freshman,2.91,5,6
3813,male,freshman,2.77,3,9
3814,male,senior,2,2,6
3815,female,junior,3.05,4,3
3816,male,junior,2.49,3,2
3817,female,freshman,3.11,1,1
3818,male,junior,2.59,1,9
3819,male,sophomore,1.73,1,7
3820,female,junior,3.01,3,1
3821,female,sophomore,1.62,1,2
3822,female,sophomore,2.34,3,3
3823,female,sophomore,3.11,3,7
3824,male,freshman,2.38,2,4
3825,female,freshman,2.13,5,2
3826,male,junior,2.78,1,8
3827,female,junior,2.85,4,5
3828,male,freshman,3.63,2,6
3829,male,sophomore,3.48,3,5
3830,male,junior,2.36,4,5
3831,female,freshman,2.34,1,9
3832,female,freshman,2.16,1,4
3833,male,senior,2.5,4,4
3834,female,junior,3.11,2,9
3835,female,sophomore,2.76,3,2
3836,female,sophomore,2.43,4,6
3837,male,junior,2.72,3,3
3838,male,senior,2.63,2,2
3839,male,sophomore,2.33,5,6
3840,male,freshman,2.7,1,7
3841,female,junior,2.16,4,5
3842,male,freshman,2.56,2,1
3843,male,freshman,2.7,4,4
3844,female,freshman,2.8,4,6
3845,male,junior,2.97,1,4
3846,male,freshman,2.16,3,4
3847,female,sophomore,3.05,2,2
3848,female,sophomore,2.91,3,4
3849,male,junior,3.07,4,1
3850,male,junior,3.63,5,7
3851,female,junior,2.77,4,7
3852,female,senior,2.67,5,1
3853,male,sophomore,2.44,4,6
3854,female,senior,3.22,4,9
3855,female,senior,2.99,2,5
3856,male,junior,3.14,3,5
3857,female,junior,2.6,1,5
3858,female,sophomore,2.73,5,8
3859,male,freshman,2.38,4,6
3860,male,sophomore,2.55,4,9
3861,female,freshman,2.92,5,3
3862,female,senior,2.94,3,9
3863,female,junior,3.46,3,3
3864,female,sophomore,2.54,2,1
3865,female,junior,2.44,3,8
3866,female,junior,2.88,2,4
3867,male,junior,2.91,4,9
3868,female,senior,2.59,2,1
3869,female,junior,2.51,4,8
3870,male,junior,2.49,3,9
3871,female,freshman,3.08,1,4
3872,female,junior,2.78,3,8
3873,male,freshman,2.54,2,7
3874,male,sophomore,2.58,1,1
3875,female,senior,2.59,1,5
3876,male,freshman,2.94,4,4
3877,male,junior,2.81,2,3
3878,male,sophomore,2.29,3,7
3879,female,senior,2.65,1,6
3880,male,junior,2.52,2,7
3881,female,junior,3.11,4,4
3882,female,senior,2.71,4,8
3883,male,sophomore,2.85,1,2
3884,male,freshman,2.8,2,2
3885,female,senior,2.94,3,2
3886,female,junior,2.65,2,7
3887,female,freshman,3.07,4,5
3888,female,sophomore,2.34,4,2
3889,female,senior,2.92,2,1
3890,male,junior,2.95,3,7
3891,male,junior,3.05,3,6
3892,male,junior,2.27,1,9
3893,male,freshman,3.24,3,6
3894,male,freshman,2.76,2,5
3895,female,senior,3.42,5,5
3896,male,junior,2.8,5,2
3897,male,junior,2.18,3,8
3898,female,junior,2.86,2,6
3899,female,sophomore,2.38,3,1
3900,female,sophomore,2.28,3,4
3901,male,freshman,2.57,1,2
3902,male,freshman,3.34,2,4
3903,female,freshman,2.56,1,1
3904,female,senior,2.62,2,4
3905,female,senior,3.17,2,1
3906,female,freshman,3.19,3,1
3907,female,junior,3.14,2,8
3908,female,sophomore,2.53,1,6
3909,female,sophomore,3.02,3,2
3910,female,senior,2.94,4,4
3911,male,freshman,3.02,2,9
3912,female,junior,3.52,4,7
3913,male,senior,2.2,3,7
3914,male,freshman,3.24,1,4
3915,female,freshman,2.78,3,2
3916,female,sophomore,2.9,3,8
3917,female,senior,2.21,3,4
3918,male,senior,1.52,1,7
3919,male,senior,2.25,2,5
3920,male,sophomore,2.95,3,3
3921,female,freshman,2.22,2,1
3922,male,senior,2.97,5,1
3923,female,sophomore,2.57,3,3
3924,male,freshman,2.76,1,9
3925,female,senior,3.33,1,2
3926,male,sophomore,2.06,4,1
3927,female,sophomore,2.21,1,6
3928,female,senior,3.22,3,3
3929,male,sophomore,2.82,2,3
3930,female,junior,2.26,2,8
3931,female,junior,2.76,2,3
3932,male,junior,2.24,1,4
3933,male,sophomore,2.87,1,4
3934,female,freshman,2.95,3,1
3935,female,senior,2.96,2,4
3936,female,freshman,2.22,4,5
3937,female,junior,3.57,2,5
3938,female,senior,2.93,3,1
3939,male,freshman,2.41,3,4
3940,female,freshman,3,3,3
3941,male,junior,2.65,3,2
3942,female,sophomore,2.11,2,9
3943,female,senior,2.82,2,2
3944,male,freshman,3.07,1,6
3945,female,senior,2.15,5,1
3946,male,freshman,2.81,4,1
3947,male,sophomore,2.5,4,4
3948,female,junior,3.2,3,4
3949,male,senior,2.93,5,5
3950,male,junior,2.03,5,5
3951,female,sophomore,2.39,4,4
3952,female,senior,2.02,1,3
3953,female,senior,2.2,4,4
3954,female,sophomore,3.18,1,6
3955,male,junior,2.97,5,8
3956,female,junior,3.22,5,4
3957,male,junior,2.39,4,5
3958,male,senior,2.39,2,8
3959,female,freshman,2.81,1,9
3960,female,senior,2.76,4,6
3961,female,sophomore,3.04,2,1
3962,male,sophomore,3.23,1,9
3963,male,junior,2.48,3,3
3964,male,junior,2.62,1,1
3965,female,freshman,2.51,4,6
3966,female,sophomore,2.91,3,7
3967,female,senior,2.46,1,2
3968,female,junior,3.18,3,9
3969,female,junior,3.25,2,3
3970,male,freshman,2.17,1,-99
3971,female,sophomore,2.82,2,2
3972,male,sophomore,3.46,2,1
3973,female,sophomore,2.81,1,9
3974,female,freshman,2.54,2,5
3975,female,sophomore,2.13,4,1
3976,female,junior,2.7,3,5
3977,female,sophomore,2.61,4,8
3978,male,sophomore,3.08,4,6
3979,male,junior,2.44,4,8
3980,female,junior,2.17,3,9
3981,female,freshman,3.09,3,2
3982,male,freshman,3.67,4,6
3983,female,senior,3.12,1,3
3984,male,freshman,2.57,4,7
3985,male,sophomore,2.22,2,2
3986,male,junior,1.97,3,5
3987,female,freshman,2.6,2,5
3988,male,freshman,2.53,4,2
3989,female,sophomore,2.98,5,8
3990,male,senior,3.15,3,6
3991,female,senior,2.75,3,6
3992,male,junior,2.9,3,2
3993,female,freshman,2.45,2,6
3994,male,freshman,2.92,1,6
3995,female,junior,3.28,4,7
3996,male,senior,2.44,2,3
3997,female,freshman,2.55,2,7
3998,female,freshman,3,3,2
3999,female,freshman,2.85,4,1
4000,male,freshman,2.82,3,6
4001,male,sophomore,3.3,1,8
4002,female,freshman,2.51,3,7
4003,female,junior,2.35,1,1
4004,female,freshman,2.17,1,8
4005,male,senior,2.57,3,7
4006,female,freshman,3.15,5,4
4007,female,junior,2.77,2,7
4008,male,freshman,2.3,4,3
4009,male,freshman,2.52,1,7
4010,female,freshman,2.92,5,9
4011,male,freshman,2.4,5,1
4012,female,sophomore,3.67,1,6
4013,male,sophomore,2.36,5,9
4014,male,junior,2.33,4,4
4015,female,sophomore,2.83,3,1
4016,male,sophomore,2.66,4,7
4017,female,senior,2.43,1,2
4018,male,junior,2.95,3,2
4019,male,senior,2.96,5,9
4020,male,junior,2.4,1,4
4021,female,senior,2.71,2,2
4022,female,senior,3.61,3,7
4023,female,junior,2.42,2,8
4024,male,junior,2.85,3,4
4025,male,sophomore,3.17,4,5
4026,male,senior,3.15,1,7
4027,male,senior,3.29,4,9
4028,female,freshman,2.44,4,8
4029,male,junior,2.65,2,2
4030,female,freshman,3.07,2,1
4031,male,senior,2.96,2,9
4032,male,junior,2.64,2,7
4033,female,sophomore,3.73,3,6
4034,male,sophomore,3.03,2,4
4035,male,sophomore,3.28,5,2
4036,female,sophomore,2.5,1,2
4037,female,sophomore,3.07,2,1
4038,female,sophomore,2.62,3,1
4039,female,sophomore,1.88,2,5
4040,male,freshman,2.95,4,2
4041,female,freshman,3.15,4,9
4042,female,junior,2.58,3,1
4043,male,junior,3.74,2,6
4044,female,sophomore,2.36,5,3
4045,female,freshman,3.1,4,9
4046,female,sophomore,2.68,1,2
4047,female,junior,3.04,1,3
4048,male,sophomore,2.4,2,3
4049,male,sophomore,2.9,1,1
4050,male,senior,2.32,2,5
4051,male,junior,3.23,2,1
4052,female,freshman,2.66,1,8
4053,male,freshman,2.61,1,5
4054,female,freshman,3.5,2,8
4055,female,sophomore,2.11,4,8
4056,male,senior,2.04,4,3
4057,female,freshman,3.52,2,1
4058,male,sophomore,3.31,2,8
4059,male,freshman,2.28,3,7
4060,female,senior,2.55,2,9
4061,male,senior,2.11,4,3
4062,female,sophomore,3.01,4,8
4063,male,junior,2.61,3,8
4064,female,sophomore,3.25,5,3
4065,male,freshman,2.66,4,7
4066,male,sophomore,2.24,4,2
4067,male,junior,2.81,1,5
4068,male,freshman,2.54,5,4
4069,male,freshman,2.12,3,6
4070,male,freshman,2.4,4,5
4071,male,freshman,2.46,5,5
4072,male,freshman,2.47,2,3
4073,female,freshman,2.63,2,1
4074,male,senior,2.36,1,9
4075,female,sophomore,3.18,3,5
4076,male,senior,2.37,5,1
4077,male,junior,2.27,3,6
4078,male,senior,2.44,2,2
4079,female,senior,2.4,3,9
4080,male,freshman,3.25,1,7
4081,female,sophomore,2.86,1,7
4082,female,senior,2.97,2,5
4083,male,sophomore,2.67,2,7
4084,male,senior,2.03,1,5
4085,female,freshman,2.69,3,2
4086,female,junior,2.88,1,7
4087,male,junior,2.65,3,8
4088,male,senior,2.67,1,1
4089,female,freshman,2.25,1,3
4090,male,senior,3.19,4,2
4091,female,sophomore,2.16,4,4
4092,male,senior,3.4,2,8
4093,female,junior,2.93,4,4
4094,female,senior,3.08,3,8
4095,male,freshman,2.07,1,7
4096,male,sophomore,2.8,3,3
4097,female,sophomore,2.62,1,3
4098,female,freshman,2.87,3,8
4099,male,freshman,2.17,3,5
4100,female,freshman,2.18,3,1
4101,male,senior,2.59,1,2
4102,male,junior,1.96,3,9
4103,female,freshman,2.07,4,9
4104,male,sophomore,2.67,4,3
4105,female,junior,2.71,4,6
4106,female,freshman,2.8,5,5
4107,female,sophomore,2.63,5,2
4108,male,junior,2.73,2,5
4109,female,freshman,2.91,3,9
4110,male,senior,3.23,2,9
4111,male,sophomore,2.75,3,6
4112,female,freshman,2.69,1,6
4113,male,sophomore,2.85,4,5
4114,male,sophomore,3.5,2,8
4115,male,freshman,2.75,1,1
4116,female,senior,3.16,4,7
4117,female,junior,3.35,1,5
4118,female,senior,2.76,5,7
4119,male,sophomore,2.2,1,4
4120,female,senior,2.83,2,7
4121,male,junior,3.02,2,4
4122,male,senior,2.4,3,9
4123,male,freshman,3.04,5,7
4124,female,junior,2.47,1,2
4125,female,senior,2.42,2,1
4126,male,senior,2.56,2,3
4127,male,freshman,2.89,1,3
4128,male,junior,3.23,1,9
4129,male,sophomore,3.13,3,7
4130,male,sophomore,2.52,2,6
4131,female,junior,3.01,3,1
4132,female,sophomore,1.86,2,9
4133,female,freshman,2.84,4,8
4134,male,freshman,2.65,1,6
4135,male,senior,3.11,1,5
4136,female,freshman,3.54,4,1
4137,male,senior,2.59,1,1
4138,male,sophomore,3.56,1,8
4139,male,sophomore,3.2,2,9
4140,female,senior,2.74,3,2
4141,female,sophomore,3.51,2,8
4142,male,senior,2.34,4,7
4143,female,sophomore,2.35,2,5
4144,female,freshman,2.26,3,9
4145,female,junior,2.67,1,9
4146,female,junior,2.18,2,1
4147,female,sophomore,2.52,3,1
4148,male,freshman,2.3,5,9
4149,female,freshman,2.43,5,6
4150,female,freshman,3.17,2,3
4151,female,junior,3.09,4,9
4152,female,senior,2.97,1,2
4153,male,senior,2.52,1,8
4154,female,senior,1.48,3,3
4155,male,senior,3.5,3,7
4156,male,senior,3.01,5,6
4157,female,sophomore,2.37,2,3
4158,male,freshman,3.27,1,9
4159,male,freshman,2.64,2,9
4160,male,junior,2.5,5,3
4161,female,senior,1.95,3,8
4162,female,sophomore,3.01,4,5
4163,female,senior,2.7,2,1
4164,male,junior,2.57,2,6
4165,male,freshman,2.81,2,8
4166,female,senior,3.08,4,6
4167,male,freshman,2.68,1,4
4168,male,freshman,2.85,3,3
4169,male,sophomore,2.93,3,9
4170,male,freshman,3.01,3,5
4171,male,freshman,3.17,3,6
4172,female,freshman,2.3,1,2
4173,male,sophomore,2.97,3,6
4174,female,junior,3.2,3,6
4175,female,freshman,2.38,5,9
4176,female,freshman,2.12,1,1
4177,male,junior,2.6,2,6
4178,male,freshman,2.31,1,2
4179,male,sophomore,2.96,5,9
4180,male,senior,3.17,4,5
4181,male,junior,2.43,1,6
4182,female,senior,2.46,3,9
4183,female,freshman,2.7,2,4
4184,female,junior,2.9,5,9
4185,male,freshman,2.82,4,3
4186,male,freshman,2.5,2,2
4187,female,freshman,3.12,4,1
4188,female,sophomore,3.02,1,8
4189,male,freshman,3.03,4,8
4190,male,senior,2.5,1,3
4191,female,junior,2.66,2,8
4192,male,freshman,2.89,2,3
4193,female,junior,2.86,1,4
4194,male,senior,2.38,1,3
4195,male,senior,2.74,2,9
4196,female,junior,2.53,3,9
4197,male,sophomore,2.37,4,4
4198,female,freshman,2.23,5,9
4199,male,junior,2.43,4,9
4200,female,senior,3.3,5,6
